timestamp,request_id,request_date,classification
2026-05-04T23:26:05.389006,1,2025-04-01,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""200 sheets of A4 glossy paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 200
    },
    {
      ""original_name"": ""100 sheets of heavy cardstock (white)"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 100
    },
    {
      ""original_name"": ""100 sheets of colored paper (assorted colors)"",
      ""resolved_name"": ""Colored paper"",
      ""quantity"": 100
    }
  ]
}"
2026-05-04T23:27:49.964348,2,2025-04-03,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of colorful poster paper"",
      ""resolved_name"": ""Poster paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""300 roll of streamers"",
      ""resolved_name"": ""Party streamers"",
      ""quantity"": 300
    },
    {
      ""original_name"": ""200 balloons"",
      ""resolved_name"": ""unresolved"",
      ""quantity"": 200
    }
  ]
}"
2026-05-04T23:29:36.476877,3,2025-04-04,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""10,000 sheets of A4 paper"",
      ""resolved_name"": ""A4 paper"",
      ""quantity"": 10000
    },
    {
      ""original_name"": ""5000 sheets of A3 paper"",
      ""resolved_name"": ""unresolved"",
      ""quantity"": 5000
    },
    {
      ""original_name"": ""500 reams of printer paper"",
      ""resolved_name"": ""Standard copy paper"",
      ""quantity"": 500
    }
  ]
}"
2026-05-04T23:31:56.320211,4,2025-04-05,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of high-quality, recycled cardstock"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""250 sheets of A4 size printer paper"",
      ""resolved_name"": ""A4 paper"",
      ""quantity"": 250
    }
  ]
}"
2026-05-04T23:33:24.392637,5,2025-04-05,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of 8.5\""x11\"" colored paper"",
      ""resolved_name"": ""Colored paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""300 sheets of cardstock in various colors"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 300
    },
    {
      ""original_name"": ""200 rolls of decorative washi tape"",
      ""resolved_name"": ""Decorative adhesive tape (washi tape)"",
      ""quantity"": 200
    }
  ]
}"
2026-05-04T23:35:27.987367,6,2025-04-06,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of colorful construction paper"",
      ""resolved_name"": ""Construction paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""300 sheets of white printer paper"",
      ""resolved_name"": ""Standard copy paper"",
      ""quantity"": 300
    },
    {
      ""original_name"": ""200 sheets of cardstock in various colors"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 200
    }
  ]
}"
2026-05-04T23:36:28.808506,7,2025-04-07,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of glossy A4 paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""1000 sheets of matte A3 paper"",
      ""resolved_name"": ""Matte paper"",
      ""quantity"": 1000
    },
    {
      ""original_name"": ""300 poster boards (24' x 36')"",
      ""resolved_name"": ""Large poster paper"",
      ""quantity"": 300
    },
    {
      ""original_name"": ""200 sheets of heavyweight cardstock"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 200
    }
  ]
}"
2026-05-04T23:38:05.719750,8,2025-04-07,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of A4 glossy paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""1000 sheets of A4 matte paper"",
      ""resolved_name"": ""Matte paper"",
      ""quantity"": 1000
    },
    {
      ""original_name"": ""2000 sheets of A5 colored paper"",
      ""resolved_name"": ""unresolved"",
      ""quantity"": 2000
    },
    {
      ""original_name"": ""3000 sheets of A4 recycled paper"",
      ""resolved_name"": ""Recycled paper"",
      ""quantity"": 3000
    }
  ]
}"
2026-05-04T23:39:45.774293,9,2025-04-07,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-10"",
  ""items"": [
    {
      ""original_name"": ""200 sheets of A4 white printer paper"",
      ""resolved_name"": ""A4 paper"",
      ""quantity"": 200
    },
    {
      ""original_name"": ""100 sheets of A3 glossy paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 100
    },
    {
      ""original_name"": ""50 packets of 100% recycled kraft paper envelopes"",
      ""resolved_name"": ""Kraft paper"",
      ""quantity"": 50
    }
  ]
}"
2026-05-04T23:42:05.987897,10,2025-04-08,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-10"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of A4 printing paper"",
      ""resolved_name"": ""A4 paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""200 sheets of cardstock"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 200
    }
  ]
}"
2026-05-04T23:43:41.927861,11,2025-04-08,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""200 sheets of colorful cardstock"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 200
    },
    {
      ""original_name"": ""500 sheets of standard printer paper"",
      ""resolved_name"": ""Standard copy paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""100 paper napkins"",
      ""resolved_name"": ""Paper napkins"",
      ""quantity"": 100
    }
  ]
}"
2026-05-04T23:45:43.100269,12,2025-04-08,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of high-quality glossy paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""300 sheets of sturdy cardstock"",
      ""resolved_name"": ""Cardstock"",
      ""quantity"": 300
    }
  ]
}"
2026-05-04T23:46:59.735225,13,2025-04-08,"{
  ""request_type"": ""order"",
  ""delivery_deadline"": ""2025-04-15"",
  ""items"": [
    {
      ""original_name"": ""500 sheets of A3 glossy paper"",
      ""resolved_name"": ""Glossy paper"",
      ""quantity"": 500
    },
    {
      ""original_name"": ""300 sheets of A4 matte paper"",
      ""resolved_name"": ""Matte paper"",
      ""quantity"": 300
    }
  ]
}"
